Running build/bin/traccc_seq_example_cuda tml_detector/trackml-detector.csv tml_pixels/ 1
Starting CUDA clusterization.
Number of modules: 3859
Idx: 2496, i.e. (39, 0): Cell position: (78, 994) activation: 0.050836
Idx: 2525, i.e. (39, 29): Cell position: (7, 844) activation: 0.059975
Idx: 3795, i.e. (59, 19): Cell position: (130, 840) activation: 0.015416
Idx: 3796, i.e. (59, 20): Cell position: (301, 803) activation: 0.014383
Idx: 3827, i.e. (59, 51): Cell position: (255, 996) activation: 0.011372
Idx: 3265, i.e. (51, 1): Cell position: (94, 806) activation: 0.015107
Idx: 3266, i.e. (51, 2): Cell position: (73, 1190) activation: 0.019310
Idx: 3267, i.e. (51, 3): Cell position: (231, 969) activation: 0.017247
Idx: 3268, i.e. (51, 4): Cell position: (27, 1023) activation: 0.023436
Idx: 3269, i.e. (51, 5): Cell position: (145, 1254) activation: 0.023394
Idx: 3270, i.e. (51, 6): Cell position: (226, 1171) activation: 0.024131
Idx: 1248, i.e. (19, 32): Cell position: (3, 318) activation: 0.041409
Idx: 1249, i.e. (19, 33): Cell position: (55, 221) activation: 0.056454
Idx: 1250, i.e. (19, 34): Cell position: (179, 345) activation: 0.023223
Idx: 1251, i.e. (19, 35): Cell position: (127, 247) activation: 0.018120
Idx: 1252, i.e. (19, 36): Cell position: (192, 112) activation: 0.026998
Idx: 1253, i.e. (19, 37): Cell position: (252, 191) activation: 0.056271
Idx: 1254, i.e. (19, 38): Cell position: (310, 197) activation: 0.056294
Idx: 1255, i.e. (19, 39): Cell position: (269, 327) activation: 0.056336
Idx: 1256, i.e. (19, 40): Cell position: (169, 264) activation: 0.035112
Idx: 1257, i.e. (19, 41): Cell position: (320, 56) activation: 0.056248
Idx: 1258, i.e. (19, 42): Cell position: (36, 141) activation: 0.056399
Idx: 1259, i.e. (19, 43): Cell position: (162, 160) activation: 0.056638
Idx: 1260, i.e. (19, 44): Cell position: (229, 35) activation: 0.049460
Idx: 1261, i.e. (19, 45): Cell position: (219, 189) activation: 0.056283
Idx: 1262, i.e. (19, 46): Cell position: (143, 365) activation: 0.035559
Idx: 1263, i.e. (19, 47): Cell position: (91, 139) activation: 0.056309
Idx: 1264, i.e. (19, 48): Cell position: (203, 285) activation: 0.056417
Idx: 1265, i.e. (19, 49): Cell position: (102, 417) activation: 0.056338
Idx: 1266, i.e. (19, 50): Cell position: (140, 266) activation: 0.042429
Idx: 1267, i.e. (19, 51): Cell position: (308, 276) activation: 0.031439
Idx: 1268, i.e. (19, 52): Cell position: (25, 336) activation: 0.028160
Idx: 1269, i.e. (19, 53): Cell position: (35, 74) activation: 0.056493
Idx: 1270, i.e. (19, 54): Cell position: (193, 57) activation: 0.020727
Idx: 1271, i.e. (19, 55): Cell position: (121, 156) activation: 0.056279
Idx: 1272, i.e. (19, 56): Cell position: (70, 223) activation: 0.056264
Idx: 1273, i.e. (19, 57): Cell position: (176, 133) activation: 0.056388
Idx: 1274, i.e. (19, 58): Cell position: (321, 400) activation: 0.056255
Idx: 1275, i.e. (19, 59): Cell position: (197, 329) activation: 0.037562
Idx: 1276, i.e. (19, 60): Cell position: (321, 108) activation: 0.056295
