Running build/bin/traccc_seq_example_cuda tml_detector/trackml-detector.csv tml_pixels/ 1
Starting CUDA clusterization.
Number of modules: 3859
TIME TAKEN FOR CCL CLUSTERISATION: 0.043409s
After: Module: 755, Clusters in module: 24, Cell 0, Point (179, 118) belongs to cluster 1. Activation: 0.032330
After: Module: 755, Clusters in module: 24, Cell 1, Point (179, 119) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 2, Point (179, 120) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 3, Point (179, 121) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 4, Point (179, 122) belongs to cluster 1. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 5, Point (179, 123) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 6, Point (179, 124) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 7, Point (179, 125) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 8, Point (179, 126) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 9, Point (179, 127) belongs to cluster 1. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 10, Point (179, 128) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 11, Point (179, 129) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 12, Point (179, 130) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 13, Point (179, 131) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 14, Point (179, 132) belongs to cluster 1. Activation: 0.056256
After: Module: 755, Clusters in module: 24, Cell 15, Point (179, 133) belongs to cluster 1. Activation: 0.056254
After: Module: 755, Clusters in module: 24, Cell 16, Point (179, 134) belongs to cluster 1. Activation: 0.056254
